"spkid","full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
3781049,"       (2017 QJ18)",2.898,0.6196,10.21,131.56,279.47,1.103,4.69,4.93,172,4,105,,,19.80
3781043,"       (2017 QK18)",0.7696,0.3997,4.15,359.06,147.76,0.462,1.08,0.675,26,7,25,,,24.50
3781046,"       (2017 QL18)",2.673,0.5285,11.17,30.86,346.52,1.260,4.09,4.37,161,4,239,,,19.80
3781045,"       (2017 QM18)",2.064,0.4595,34.07,257.32,30.24,1.115,3.01,2.96,2837,0,291,,,18.60
3781044,"       (2017 QN18)",2.14,0.8333,6.72,280.40,176.57,0.357,3.92,3.13,48,6,39,,,20.20
3781228,"       (2017 QO32)",2.2,0.4956,5.72,158.52,151.63,1.110,3.29,3.26,5,8,19,,,24.00
3781235,"       (2017 QP32)",1.734,0.5358,5.91,327.68,289.98,0.805,2.66,2.28,5,8,14,,,25.80
3781233,"       (2017 QQ32)",1.818,0.3044,8.93,44.34,322.56,1.265,2.37,2.45,1841,1,234,,,19.95
3781229,"       (2017 QR32)",2.031,0.6630,3.51,154.13,265.02,0.684,3.38,2.89,1,9,20,,,26.60
3781231,"       (2017 QS32)",2.221,0.5016,0.73,263.27,62.36,1.107,3.33,3.31,34,6,47,,,24.50
3781230,"       (2017 QT32)",2.186,0.5494,6.91,154.25,142.05,0.985,3.39,3.23,6,8,26,,,26.10
3781232,"       (2017 QU32)",2.084,0.6121,7.56,335.88,292.37,0.808,3.36,3.01,3,8,37,,,26.60
3781234,"       (2017 QV32)",2.567,0.6245,3.48,336.42,37.68,0.964,4.17,4.11,11,8,31,,,26.10
3781236,"       (2017 QW32)",2.425,0.5490,1.97,149.98,217.18,1.094,3.76,3.78,70,6,43,,,24.20
3781246,"       (2017 QG33)",0.9799,0.3109,8.54,321.20,168.04,0.675,1.28,0.97,777,1,38,,,23.50
3781245,"       (2017 QH33)",2.06,0.4500,3.92,19.53,314.28,1.133,2.99,2.96,31,6,21,,,24.20
3781247,"       (2017 QJ33)",1.839,0.3174,8.86,83.23,170.46,1.255,2.42,2.49,1833,0,43,,,20.30
3781249,"       (2017 QK33)",2.148,0.4814,6.50,157.76,151.64,1.114,3.18,3.15,4,9,12,,,24.50
3781250,"       (2017 QL33)",1.838,0.4802,1.72,357.84,71.27,0.955,2.72,2.49,2028,0,278,4,2,21.20
3781248,"       (2017 QM33)",1.941,0.6331,2.40,335.41,279.10,0.712,3.17,2.71,2,8,24,,,27.80
3781251,"       (2017 QN33)",2.317,0.5349,6.93,338.87,340.40,1.078,3.56,3.53,27,7,50,,,24.30
3781253,"       (2017 QP33)",1.984,0.4653,2.04,258.19,72.64,1.061,2.91,2.79,32,7,40,,,24.20
3781270,"       (2017 QT34)",1.751,0.4420,1.65,323.90,321.01,0.977,2.53,2.32,12,8,9,,,27.80
3781269,"       (2017 QU34)",2.214,0.6215,3.13,154.93,120.05,0.838,3.59,3.29,3,8,23,,,28.30
3781268,"       (2017 QV34)",2.482,0.6027,10.02,188.31,213.76,0.986,3.98,3.91,1656,0,224,,,20.41
3781299,"       (2017 QW34)",1.479,0.2157,22.39,14.33,208.05,1.160,1.80,1.8,1681,1,48,,,20.70
3781300,"       (2017 QX34)",1.029,0.3982,21.28,142.73,21.21,0.619,1.44,1.04,1094,2,71,,,21.50
3781301,"       (2017 QY34)",0.8133,0.4149,27.22,328.62,222.71,0.476,1.15,0.733,1133,2,106,,,20.90
3781302,"       (2017 QZ34)",1.512,0.3124,16.15,332.15,27.30,1.040,1.98,1.86,2,7,28,,,25.60
3781303,"       (2017 QA35)",1.337,0.1859,29.21,163.22,218.14,1.089,1.59,1.55,17,8,31,,,23.40
3781304,"       (2017 QB35)",0.93,0.1389,4.81,159.29,315.66,0.801,1.06,0.897,2,4,33,,,29.30
3781308,"       (2017 QL35)",2.665,0.5301,12.04,195.81,153.71,1.252,4.08,4.35,99,4,174,,,20.40
3781307,"       (2017 QM35)",2.061,0.4720,7.01,171.25,180.14,1.088,3.03,2.96,73,6,35,,,24.40
3781315,"       (2017 QN35)",1.066,0.2725,12.50,163.42,70.17,0.776,1.36,1.1,2,7,26,,,25.80
3781313,"       (2017 QO35)",1.196,0.0387,24.87,165.81,146.45,1.150,1.24,1.31,26,7,31,,,23.40
3781310,"       (2017 QP35)",2.33,0.5433,28.62,164.28,209.14,1.064,3.60,3.56,2,9,27,,,23.70
3781311,"       (2017 QQ35)",0.8117,0.4552,22.37,347.43,173.48,0.442,1.18,0.731,1117,2,59,,,21.90
3781312,"       (2017 QR35)",1.55,0.3388,9.23,338.77,354.50,1.025,2.07,1.93,13,7,57,,,25.30
3781316,"       (2017 QS35)",2.312,0.4884,7.18,128.18,144.28,1.183,3.44,3.52,67,5,22,,,20.90
3781314,"       (2017 QT35)",2.597,0.5193,9.37,193.22,175.48,1.248,3.95,4.18,105,5,138,,,20.90
3781309,"       (2017 QU35)",2.104,0.4800,6.77,156.67,141.26,1.094,3.11,3.05,2,9,12,,,24.10
3781317,"       (2017 QV35)",2.466,0.5382,4.91,154.74,174.66,1.139,3.79,3.87,16,8,15,,,23.80
3781330,"       (2017 QX35)",1.458,0.3149,8.67,315.54,328.16,0.999,1.92,1.76,49,5,50,,,22.10
3781359,"       (2017 QC36)",0.7994,0.2958,17.36,136.69,356.55,0.563,1.04,0.715,25,6,14,,,20.79
3781318,"       (2017 RB)",1.147,0.1486,7.85,162.28,227.07,0.977,1.32,1.23,1,6,20,,,28.10
3781319,"       (2017 RC)",1.544,0.4186,1.51,337.01,306.24,0.897,2.19,1.92,14,7,36,,,27.90
3781329,"       (2017 RF)",1.29,0.1603,16.35,337.70,347.94,1.083,1.50,1.46,2,8,22,,,25.00
3781338,"       (2017 RK)",1.243,0.1697,7.24,333.65,6.67,1.032,1.45,1.39,15,8,14,,,25.50
3781339,"       (2017 RL)",2.438,0.5806,19.55,344.81,347.67,1.022,3.85,3.81,2899,0,217,,,18.62
3781341,"       (2017 RU)",2.634,0.5617,8.75,183.73,166.90,1.155,4.11,4.28,76,5,91,,,22.40
3781344,"       (2017 RV)",1.225,0.6146,3.01,329.21,241.27,0.472,1.98,1.36,2306,1,65,,,21.90
3781372,"       (2017 RK1)",2.209,0.4347,9.13,180.98,176.93,1.249,3.17,3.28,2040,0,184,,,20.30
3781370,"       (2017 RL1)",2.272,0.4586,19.58,249.87,87.17,1.230,3.31,3.43,132,5,47,,,19.70
3781371,"       (2017 RM1)",1.541,0.4115,5.77,280.87,353.19,0.907,2.17,1.91,21,7,36,,,22.70
3781387,"       (2017 RT1)",2.127,0.4005,5.44,344.09,19.10,1.275,2.98,3.1,1162,1,73,,,21.10
3781389,"       (2017 RU1)",1.504,0.2788,18.41,346.91,20.52,1.085,1.92,1.85,27,7,124,,,22.40
3781388,"       (2017 RV1)",2.428,0.6258,2.05,292.22,123.03,0.909,3.95,3.78,260,3,505,1,1,20.10
3781386,"       (2017 RW1)",1.651,0.5071,9.21,173.82,252.50,0.814,2.49,2.12,9,8,57,,,23.70
3781390,"       (2017 RX1)",1.439,0.2766,8.40,350.52,10.76,1.041,1.84,1.73,13,7,187,,,23.70
3781403,"       (2017 RG2)",2.043,0.5146,5.42,1.39,18.90,0.992,3.09,2.92,20,7,36,,,24.40
3781416,"       (2017 RJ2)",1.947,0.6213,1.49,176.85,248.18,0.738,3.16,2.72,3,8,26,,,27.60
